id,type,title,owner_name,channel_name,channel_url,created_at_iso,like_count,share_count,lang,hashtags,post_url,poster_url
1h7hpsobk6pjUc4tyzQKtwJCb1qd1c,Shorts,#幸福土雞農場,祥與芳的日常,祥與芳的日常,https://www.ganjingworld.com/channel/1fspc536a133BcAIOJi6z0jrv15h0c,2024-11-23T06:18:57.916000Z,15,1,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7hpsobk6pjUc4tyzQKtwJCb1qd1c,https://image3-us-west.cloudokyo.cloud/image/v1/fa/e8/61/fae8614e-e3d4-43f2-a283-b081f833bf91/672.webp
1h7htqob880fN0THtywgZRIKz1ot1c,Video,#幸福土雞農場,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T07:29:25.762000Z,6,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/video/1h7htqob880fN0THtywgZRIKz1ot1c,https://image3-us-west.cloudokyo.cloud/image/v1/40/6d/bf/406dbf4d-4cca-40e8-8790-a6bf40254c65/672.webp
1h7hp8lr1362I0J1QCT1s85Mi1h51c,Shorts,#幸福土雞農場,祥與芳的日常,祥與芳的日常,https://www.ganjingworld.com/channel/1fspc536a133BcAIOJi6z0jrv15h0c,2024-11-23T06:07:44.186000Z,24,2,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7hp8lr1362I0J1QCT1s85Mi1h51c,https://image1-us-west.cloudokyo.cloud/image/v1/8f/70/b3/8f70b343-393f-44c5-be2f-5987fc3d8188/672.webp
1h7huoq661m3raE0PmRTlMgYX1mm1c,Video,"今天在花博吃飽飽玩開心，下次還要再來！
#幸福土雞農場",美好生活.幸福影像,美好生活.幸福影像,https://www.ganjingworld.com/channel/1gc4aj0pkar1YoRYCFhELoigh1ov0c,2024-11-23T07:46:14.326000Z,21,5,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/video/1h7huoq661m3raE0PmRTlMgYX1mm1c,https://image3-us-west.cloudokyo.cloud/image/v1/5e/7e/ed/5e7eedc7-0dd6-4532-8644-478e58c9cb45/672.webp
1h7hooih5756khMiqOfGfePZt1km1c,Shorts,#幸福土雞農場,祥與芳的日常,祥與芳的日常,https://www.ganjingworld.com/channel/1fspc536a133BcAIOJi6z0jrv15h0c,2024-11-23T05:58:43.846000Z,13,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/shorts/1h7hooih5756khMiqOfGfePZt1km1c,https://image1-us-west.cloudokyo.cloud/image/v1/23/54/d9/2354d9e8-e9ef-4d55-8d4f-613aa64255ca/672.webp
1h7ij2jq89q7jjF5p3KCkGUOz17s1c,Post,,Ryan,Ryan,https://www.ganjingworld.com/channel/1g1ttogslrv4NgKBLT5fxL7iv1de0c,2024-11-23T13:49:38.024000Z,11,2,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ij2jq89q7jjF5p3KCkGUOz17s1c,
1h7hq4hfqhi3aDlCKNrJdZS6u1bj1c,Video,"今天來花博領限量雞翅！！
#幸福土雞農場",美好生活.幸福影像,美好生活.幸福影像,https://www.ganjingworld.com/channel/1gc4aj0pkar1YoRYCFhELoigh1ov0c,2024-11-23T06:23:19.149000Z,13,4,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/video/1h7hq4hfqhi3aDlCKNrJdZS6u1bj1c,https://image5-us-west.cloudokyo.cloud/image/v1/33/b5/eb/33b5eb2a-7288-4ada-a711-9eb0495e82d1/672.webp
1h7ibcrjr9mTn2UstX0hxifYC1b91c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:32:11.813000Z,17,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ibcrjr9mTn2UstX0hxifYC1b91c,
1h7ibagkag82yRdUtKUet0CYa12h1c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:30:53.185000Z,15,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ibagkag82yRdUtKUet0CYa12h1c,
1h7ib7cpv7s70FBnjbfhCmrQo1t71c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:29:08.513000Z,13,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ib7cpv7s70FBnjbfhCmrQo1t71c,
1h7ib4n4kdp6fAL6TEZ2PL47S19s1c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:27:38.684000Z,13,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ib4n4kdp6fAL6TEZ2PL47S19s1c,
1h7ib21t32476zojD93143Rfp1ls1c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:26:09.308000Z,10,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ib21t32476zojD93143Rfp1ls1c,
1h7iaucsnig2BDu1QY3HHEK2o1981c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:24:06.613000Z,10,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7iaucsnig2BDu1QY3HHEK2o1981c,
1h7ia9jg9hu66MGepu7RgVUEi1rd1c,Post,,親子萌 Ronald & Jesse,親子萌 Ronald & Jesse,https://www.ganjingworld.com/channel/1fco8ecs7su6SOzrK67nxLVK51ih0c,2024-11-23T11:12:28.902000Z,61,3,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ia9jg9hu66MGepu7RgVUEi1rd1c,
1h7ia7uuvp32BshABiXXoF8KM1691c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:11:33.809000Z,10,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ia7uuvp32BshABiXXoF8KM1691c,
1h7ia4cr8eo4CKqujzlnB2eZR1o91c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:09:34.150000Z,10,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ia4cr8eo4CKqujzlnB2eZR1o91c,
1h7ia0ipn9r2ADBhtyZe29TW61nu1c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:07:26.173000Z,10,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7ia0ipn9r2ADBhtyZe29TW61nu1c,
1h7i9ng5s795qRAnE1AVYZ3BX1vh1c,Post,,柔之館 食味鮮,柔之館 食味鮮,https://www.ganjingworld.com/channel/1g1tuo8652k1E2h5eQ9BfRP3X1520c,2024-11-23T11:02:21.436000Z,12,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i9ng5s795qRAnE1AVYZ3BX1vh1c,
1h7i3cot8klwTe4lbyflwPyrU1u71c,Post,,馨妮,馨妮,https://www.ganjingworld.com/channel/1h7i38u85bk4pskuheL0RxSR21mm0c,2024-11-23T09:08:59.041000Z,5,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i3cot8klwTe4lbyflwPyrU1u71c,
1h7i3br4lb2Y29XBnVIPB371Q1m91c,Post,,創作小品,創作小品,https://www.ganjingworld.com/channel/1g3qq80k0hu1MzS2BhkKhBRiX1sn0c,2024-11-23T09:08:27.826000Z,7,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i3br4lb2Y29XBnVIPB371Q1m91c,
1h7i3baimhj3QoMpHZ17necKL1r21c,Post,,Jen Weng,Jen Weng,https://www.ganjingworld.com/channel/1h7i3968o174tAHyT455yugAD1k90c,2024-11-23T09:08:10.460000Z,4,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i3baimhj3QoMpHZ17necKL1r21c,
1h7i397ofir7dqLprNRNOtmOH1to1c,Post,,林雅雯,林雅雯,https://www.ganjingworld.com/channel/1h7i3701rr4Z8s2rSEgNqrm1n1og0c,2024-11-23T09:07:00.395000Z,3,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i397ofir7dqLprNRNOtmOH1to1c,
1h7i38p8mnr5zV9GyT0JUFh8k1mh1c,Post,,Ryan,Ryan,https://www.ganjingworld.com/channel/1g1ttogslrv4NgKBLT5fxL7iv1de0c,2024-11-23T09:06:45.198000Z,12,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i38p8mnr5zV9GyT0JUFh8k1mh1c,
1h7i2u72d5q39GRQ3gY7VbtmP1fv1c,Post,,User 1732352361968,User 1732352361968,https://www.ganjingworld.com/channel/1h7i2riikdo2DHxwYUW4v03bb1re0c,2024-11-23T09:00:50.573000Z,5,0,zh-TW,#幸福土雞農場,https://www.ganjingworld.com/zh-TW/post/1h7i2u72d5q39GRQ3gY7VbtmP1fv1c,
